"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
53,POLK,1401,JANIE HOWARD WILSON SCHOOL,462,442,95.7%
53,POLK,1421,DALE R FAIR BABSON PARK ELEMENTARY,453,445,98.2%
53,POLK,1441,WILLOW OAK SCHOOL,996,954,95.8%
53,POLK,1451,EDGAR L. PADGETT ELEMENTARY,531,489,92.1%
53,POLK,1491,GAUSE ACADEMY OF LEADERSHIP,97,79,81.4%
53,POLK,1501,CRYSTAL LAKE MIDDLE SCHOOL,753,664,88.2%
53,POLK,1521,OSCAR J. POPE ELEMENTARY SCHOOL,365,326,89.3%
53,POLK,1561,MAYNARD A TRAVISS TECHNICAL ACADEMY,151,119,78.8%
53,POLK,1601,BOK ACADEMY,640,628,98.1%
53,POLK,1611,LAUREL ELEMENTARY SCHOOL,"1,126","1,038",92.2%
53,POLK,1621,EDWARD W BOK ACADEMY NORTH,726,695,95.7%
53,POLK,1661,RIDGE TECHNICAL ACADEMY,103,92,89.3%
53,POLK,1662,LAKE ALFRED POLYTECH ACADEMY,734,708,96.5%
53,POLK,1671,MCKEEL ACADEMY OF TECHNOLOGY,"1,750","1,728",98.7%
53,POLK,1681,SCOTT LAKE ELEMENTARY SCHOOL,735,701,95.4%
53,POLK,1682,MCKEEL ACADEMY CENTRAL,610,607,99.5%
53,POLK,1692,SOUTH MCKEEL ACADEMY,"1,200","1,191",99.3%
53,POLK,1701,EAGLE LAKE ELEMENTARY SCHOOL,644,590,91.6%
53,POLK,1702,PALMETTO ELEMENTARY SCHOOL,479,444,92.7%
53,POLK,1711,GARDEN GROVE ELEMENTARY SCHOOL,652,607,93.1%
53,POLK,1721,LAKE WALES SENIOR HIGH SCHOOL,"1,597","1,544",96.7%
53,POLK,1731,PINEWOOD ELEMENTARY SCHOOL,740,696,94.1%
53,POLK,1751,JAMES E. STEPHENS ACADEMY,336,322,95.8%
53,POLK,1761,LAKE GIBSON MIDDLE SCHOOL,"1,149","1,087",94.6%
53,POLK,1762,LAKE GIBSON SENIOR HIGH SCHOOL,"1,973","1,862",94.4%
53,POLK,1771,LAKELAND HIGHLANDS MIDDLE SCHOOL,"1,118","1,055",94.4%
53,POLK,1781,DUNDEE ELEMENTARY ACADEMY,657,637,97.0%
53,POLK,1791,HAINES CITY SENIOR HIGH SCHOOL,"3,105","2,855",91.9%
53,POLK,1801,FROSTPROOF MIDDLE/SENIOR HIGH,998,942,94.4%
53,POLK,1811,CLARENCE BOSWELL ELEMENTARY SCHOOL,600,564,94.0%
53,POLK,1821,JAMES W. SIKES ELEMENTARY SCHOOL,502,477,95.0%
53,POLK,1831,LAKE MARION CREEK MIDDLE SCHOOL,"1,013",920,90.8%
53,POLK,1841,R. CLEM CHURCHWELL ELEMENTARY SCHOOL,662,609,92.0%
53,POLK,1851,DR. NE ROBERTS ELEMENTARY SCHOOL,697,657,94.3%
53,POLK,1861,ROSABELLE W. BLAKE ACADEMY,562,550,97.9%
53,POLK,1881,WENDELL WATSON ELEMENTARY SCHOOL,764,718,94.0%
53,POLK,1891,VALLEYVIEW ELEMENTARY SCHOOL,783,745,95.1%
53,POLK,1901,SOCRUM ELEMENTARY SCHOOL,523,491,93.9%
53,POLK,1908,SPESSARD L HOLLAND ELEMENTARY,843,777,92.2%
53,POLK,1921,"FROSTPROOF BEN HILL GRIFFIN, JR ELEMENTARY SCHOOL",853,801,93.9%
53,POLK,1931,GEORGE W. JENKINS SENIOR HIGH,"2,469","2,343",94.9%
53,POLK,1941,LOUGHMAN OAKS ELEMENTARY SCHOOL,"1,179","1,005",85.2%
53,POLK,1951,BERKLEY ELEMENTARY SCHOOL,696,686,98.6%
53,POLK,1961,DISCOVERY ACADEMY OF LAKE ALFRED,"1,039","1,007",96.9%
53,POLK,1971,SLEEPY HILL MIDDLE SCHOOL,886,806,91.0%
53,POLK,1981,DUNDEE RIDGE MIDDLE ACADEMY,725,712,98.2%
53,POLK,1991,LAKE REGION HIGH SCHOOL,"1,568","1,463",93.3%
53,POLK,2001,BILL DUNCAN OPPORTUNITY CENTER,87,40,46.0%
53,POLK,2002,DAVENPORT HIGH SCHOOL,"2,731","2,520",92.3%
53,POLK,2003,BELLA CITTA,"1,459","1,323",90.7%
53,POLK,7001,POLK VIRTUAL INSTRUCTION PROGRAM,17,13,76.5%
53,POLK,7023,POLK FULL TIME ESCHOOL,429,385,89.7%
53,POLK,8003,POLK STATE LAKELAND GATEWAY TO COLLEGE COLLEGIATE HIGH SCHOOL,296,279,94.3%
53,POLK,8004,NEW BEGINNINGS HIGH SCHOOL,997,790,79.2%
53,POLK,8005,MAGNOLIA MONTESSORI ACADEMY,182,176,96.7%
53,POLK,8007,NAVIGATOR ACADEMY OF LEADERSHIP DAVENPORT,977,951,97.3%
53,POLK,8008,LANGUAGE & LITERACY ACADEMY FOR LEARNING,332,315,94.9%
53,POLK,8009,BRIDGEPREP ACADEMY OF POLK,613,531,86.6%
53,POLK,8010,MATER ACADEMY DAVENPORT,815,782,96.0%
53,POLK,8012,RCMA MULBERRY COMMUNITY ACADEMY,107,106,99.1%
53,POLK,8020,MATER ACADEMY DAVENPORT MIDDLE SCHOOL,334,321,96.1%
53,POLK,8031,ACHIEVEMENT ACADEMY,157,149,94.9%
53,POLK,8121,HARTRIDGE ACADEMY,200,194,97.0%
53,POLK,8131,POLK STATE COLLEGE COLLEGIATE HIGH SCHOOL,343,340,99.1%
53,POLK,8133,CHAIN OF LAKES COLLEGIATE HIGH,340,331,97.4%
53,POLK,8141,LAKELAND MONTESSORI SCHOOL HOUSE,129,121,93.8%
53,POLK,8142,BERKLEY ACCELERATED,622,615,98.9%
53,POLK,8143,VICTORY RIDGE ACADEMY,321,310,96.6%
53,POLK,8171,CYPRESS JUNCTION MONTESSORI,317,296,93.4%
53,POLK,8181,DISCOVERY HIGH SCHOOL,898,856,95.3%
53,POLK,8201,MI ESCUELA MONTESSORI,275,263,95.6%
53,POLK,9002,TRANSITION SCHOOL,50,44,88.0%
53,POLK,9003,HOSPITAL HOMEBOUND,151,128,84.8%
53,POLK,9205,RIDGE TEEN PARENT PROGRAM,11,9,81.8%
53,POLK,9225,PACE CENTER FOR GIRLS,59,42,71.2%
53,POLK,9228,POLK COUNTY SHERIFF'S CENTRAL CENTER,45,23,51.1%
53,POLK,9236,POLK COUNTY SHERIFFS REGIONAL DETENTION CENTER,58,3,5.2%
54,PUTNAM,0051,THE CHILDREN'S READING CENTER,275,269,97.8%
54,PUTNAM,0061,PUTNAM ACADEMY OF ARTS AND SCIENCES,192,180,93.8%
54,PUTNAM,0101,KELLEY SMITH ELEMENTARY SCHOOL,776,744,95.9%
54,PUTNAM,0112,INTERLACHEN JR-SR HIGH SCHOOL,999,942,94.3%
54,PUTNAM,0121,MELROSE ELEMENTARY SCHOOL,353,324,91.8%
54,PUTNAM,0125,Q.I. ROBERTS JR. - SR. HIGH SCHOOL,537,519,96.6%
54,PUTNAM,0151,JAMES A. LONG ELEMENTARY SCHOOL,565,530,93.8%
54,PUTNAM,0201,"ROBERT H. JENKINS, JR ELEMENTARY SCHOOL",844,804,95.3%
54,PUTNAM,0211,BROWNING-PEARCE ELEMENTARY SCHOOL,679,639,94.1%
54,PUTNAM,0251,MIDDLETON-BURNEY ELEMENTARY SCHOOL,"1,056","1,013",95.9%
54,PUTNAM,0261,CRESCENT CITY JR-SR HIGH SCHOOL,945,908,96.1%
54,PUTNAM,0301,PALATKA JR - SR HIGH SCHOOL,"1,568","1,457",92.9%
54,PUTNAM,0321,MELLON LEARNING CENTER,297,278,93.6%
54,PUTNAM,0341,OCHWILLA ELEMENTARY SCHOOL,388,369,95.1%
54,PUTNAM,0351,WILLIAM D. MOSELEY ELEMENTARY SCHOOL,558,507,90.9%
54,PUTNAM,7004,PUTNAM VIRTUAL FRANCHISE,22,16,72.7%
54,PUTNAM,7006,PUTNAM FLEX,*,*,*
54,PUTNAM,7023,PUTNAM VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),26,20,76.9%
54,PUTNAM,9046,TEEN PARENT PK CHILD CARE PROGRAM,*,*,*
55,ST. JOHNS,0012,ST. AUGUSTINE PUBLIC MONTESSORI SCHOOL,133,125,94.0%
55,ST. JOHNS,0021,CROOKSHANK ELEMENTARY SCHOOL,705,665,94.3%
55,ST. JOHNS,0032,GAINES ALTERNATIVE AT HAMBLEN,65,14,21.5%
55,ST. JOHNS,0033,ST. JOHNS TECHNICAL HIGH SCHOOL,190,174,91.6%
55,ST. JOHNS,0061,THE EVELYN HAMBLEN CENTER,48,36,75.0%
55,ST. JOHNS,0071,THERAPEUTIC LEARNING CENTER,19,17,89.5%
55,ST. JOHNS,0072,ST. JOHNS COMMUNITY CAMPUS,80,65,81.3%
55,ST. JOHNS,0073,LIFE WORK/PROJECT SEARCH,104,88,84.6%
55,ST. JOHNS,0091,KETTERLINUS ELEMENTARY SCHOOL,405,387,95.6%
55,ST. JOHNS,0161,R. B. HUNT ELEMENTARY SCHOOL,540,524,97.0%
55,ST. JOHNS,0171,R J MURRAY MIDDLE SCHOOL,742,711,95.8%
55,ST. JOHNS,0181,ST. AUGUSTINE HIGH SCHOOL,"1,717","1,612",93.9%
55,ST. JOHNS,0201,JAMES A. WEBSTER ELEMENTARY SCHOOL,586,548,93.5%
55,ST. JOHNS,0231,FIRST COAST TECHNICAL COLLEGE,53,48,90.6%
55,ST. JOHNS,0241,JULINGTON CREEK ELEMENTARY SCHOOL,923,911,98.7%
55,ST. JOHNS,0251,ALLEN D NEASE SENIOR HIGH SCHOOL,"2,177","2,120",97.4%
55,ST. JOHNS,0261,W. DOUGLAS HARTLEY ELEMENTARY,596,577,96.8%
55,ST. JOHNS,0301,SEBASTIAN MIDDLE SCHOOL,690,647,93.8%
55,ST. JOHNS,0311,ALICE B. LANDRUM MIDDLE SCHOOL,918,907,98.8%
55,ST. JOHNS,0321,SWITZERLAND POINT MIDDLE SCHOOL,"1,282","1,261",98.4%
55,ST. JOHNS,0331,OSCEOLA ELEMENTARY SCHOOL,639,622,97.3%
55,ST. JOHNS,0341,MILL CREEK ACADEMY,"1,983","1,926",97.1%
55,ST. JOHNS,0351,PONTE VEDRA PALM VALLEY- RAWLINGS ELEMENTARY SCHOOL,940,927,98.6%
55,ST. JOHNS,0361,OTIS A. MASON ELEMENTARY SCHOOL,731,698,95.5%
55,ST. JOHNS,0371,GAMBLE ROGERS MIDDLE SCHOOL,896,854,95.3%
55,ST. JOHNS,0381,CUNNINGHAM CREEK ELEMENTARY SCHOOL,730,712,97.5%
55,ST. JOHNS,0391,OCEAN PALMS ELEMENTARY SCHOOL,386,373,96.6%
55,ST. JOHNS,0401,PEDRO MENENDEZ HIGH SCHOOL,"1,403","1,323",94.3%
55,ST. JOHNS,0402,BEACHSIDE HIGH SCHOOL,"2,214","2,141",96.7%
55,ST. JOHNS,0411,BARTRAM TRAIL HIGH SCHOOL,"2,153","2,101",97.6%
55,ST. JOHNS,0441,DURBIN CREEK ELEMENTARY SCHOOL,"1,090","1,055",96.8%
55,ST. JOHNS,0451,TIMBERLIN CREEK ELEMENTARY SCHOOL,634,618,97.5%
55,ST. JOHNS,0461,SOUTH WOODS ELEMENTARY SCHOOL,700,663,94.7%
55,ST. JOHNS,0471,PATRIOT OAKS ACADEMY,"1,473","1,464",99.4%
55,ST. JOHNS,0472,LIBERTY PINES ACADEMY,"1,795","1,754",97.7%
55,ST. JOHNS,0481,PACETTI BAY MIDDLE SCHOOL,"1,481","1,449",97.8%
55,ST. JOHNS,0482,WARDS CREEK ELEMENTARY SCHOOL,"1,156","1,124",97.2%
55,ST. JOHNS,0491,FRUIT COVE MIDDLE SCHOOL,"1,157","1,138",98.4%
55,ST. JOHNS,0492,PONTE VEDRA HIGH SCHOOL,"1,924","1,893",98.4%
55,ST. JOHNS,0493,CREEKSIDE HIGH SCHOOL,"2,479","2,446",98.7%
55,ST. JOHNS,0501,HICKORY CREEK ELEMENTARY SCHOOL,669,657,98.2%
55,ST. JOHNS,0502,VALLEY RIDGE ACADEMY,"1,178","1,160",98.5%
55,ST. JOHNS,0511,PALENCIA ELEMENTARY SCHOOL,703,694,98.7%
55,ST. JOHNS,0521,PICOLATA CROSSING ELEMENTARY SCHOOL,"1,048","1,029",98.2%
55,ST. JOHNS,0531,FREEDOM CROSSING ACADEMY,"1,964","1,924",98.0%
55,ST. JOHNS,0541,PALM VALLEY ACADEMY,"1,408","1,390",98.7%
55,ST. JOHNS,0551,PINE ISLAND ACADEMY,"1,972","1,938",98.3%
55,ST. JOHNS,0552,TOCOI CREEK HIGH SCHOOL,"2,616","2,533",96.8%
55,ST. JOHNS,0561,TROUT CREEK ACADEMY,"1,156","1,131",97.8%
55,ST. JOHNS,0562,LAKESIDE ACADEMY,"1,356","1,304",96.2%
55,ST. JOHNS,3525,ST. JOHNS COUNTY JAIL (DJJ),*,*,*
55,ST. JOHNS,7004,ST. JOHNS VIRTUAL FRANCHISE,314,288,91.7%
55,ST. JOHNS,7006,ST JOHNS VIRTUAL INSTRUCTION PROGRAM,*,*,*
56,ST. LUCIE,0006,SOMERSET CAREER ACADEMY,40,38,95.0%
56,ST. LUCIE,0020,PALM POINTE K8 SCHOOL,"1,597","1,585",99.2%
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,493,471,95.5%
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,726,705,97.1%
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,653,645,98.8%
56,ST. LUCIE,0051,CREATIVE ARTS ACADEMY OF ST. LUCIE,515,506,98.3%
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,765,727,95.0%
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,722,692,95.8%
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,657,615,93.6%
56,ST. LUCIE,0081,FRANCES K. SWEET ELEMENTARY SCHOOL,439,422,96.1%
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHOOL,512,477,93.2%
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SCHOOL,470,443,94.3%
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,"1,667","1,643",98.6%
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,"1,662","1,607",96.7%
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY OF EMERGING TECHNOLOGIES,786,765,97.3%
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,"1,347","1,308",97.1%
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOOL,"3,178","3,039",95.6%
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY ACADEMY,87,52,59.8%
56,ST. LUCIE,0201,FORT PIERCE WESTWOOD ACADEMY THE W.E.S.T. PREP MAGNET,"1,956","1,801",92.1%
56,ST. LUCIE,0205,DALE CASSENS EDUCATION COMPLEX,218,149,68.3%
56,ST. LUCIE,0212,ACCELERATION ACADEMY,418,278,66.5%
56,ST. LUCIE,0221,MORNINGSIDE ELEMENTARY SCHOOL,653,648,99.2%
56,ST. LUCIE,0231,LAKEWOOD PARK ELEMENTARY SCHOOL,645,610,94.6%
56,ST. LUCIE,0241,FLORESTA ELEMENTARY SCHOOL,659,640,97.1%
56,ST. LUCIE,0251,BAYSHORE ELEMENTARY SCHOOL,879,839,95.4%
56,ST. LUCIE,0261,NORTHPORT K-8 SCHOOL,"1,206","1,160",96.2%
56,ST. LUCIE,0271,WINDMILL POINT ELEMENTARY SCHOOL,"1,056","1,017",96.3%
56,ST. LUCIE,0281,VILLAGE GREEN ENVIRONMENTAL STUDIES SCHOOL,586,561,95.7%
56,ST. LUCIE,0301,PORT ST. LUCIE HIGH SCHOOL,"1,793","1,703",95.0%
56,ST. LUCIE,0311,PARKWAY ELEMENTARY SCHOOL,553,520,94.0%
56,ST. LUCIE,0331,SOUTHPORT MIDDLE SCHOOL,872,848,97.2%
56,ST. LUCIE,0341,MARIPOSA ELEMENTARY SCHOOL,792,770,97.2%
56,ST. LUCIE,0351,OAK HAMMOCK K-8 SCHOOL,"1,727","1,663",96.3%
56,ST. LUCIE,0361,MANATEE ACADEMY K-8,"1,700","1,621",95.4%
56,ST. LUCIE,0371,FOREST GROVE MIDDLE SCHOOL,855,822,96.1%
56,ST. LUCIE,0381,RIVERS EDGE ELEMENTARY SCHOOL,778,752,96.7%
56,ST. LUCIE,0391,SOUTHERN OAKS MIDDLE SCHOOL,833,806,96.8%
56,ST. LUCIE,0401,ST. LUCIE WEST CENTENNIAL HIGH,"2,914","2,787",95.6%
56,ST. LUCIE,0411,TREASURE COAST HIGH SCHOOL,"3,124","3,007",96.3%
56,ST. LUCIE,0421,WEST GATE K-8 SCHOOL,"1,639","1,596",97.4%
56,ST. LUCIE,0703,SOMERSET ACADEMY ST. LUCIE,687,678,98.7%
56,ST. LUCIE,0711,RENAISSANCE CHARTER SCHOOL OF ST. LUCIE,"1,413","1,354",95.8%
56,ST. LUCIE,0712,SOMERSET COLLEGE PREPARATORY ACADEMY,"1,463","1,395",95.4%
56,ST. LUCIE,0721,RENAISSANCE CHARTER SCHOOL AT TRADITION,"1,144","1,103",96.4%
56,ST. LUCIE,0722,TRADITION PREPARATORY HIGH SCHOOL,956,915,95.7%
56,ST. LUCIE,0731,SOMERSET ACADEMY BETHANY,527,502,95.3%
56,ST. LUCIE,0741,INDEPENDENCE CLASSICAL ACADEMY,557,519,93.2%
56,ST. LUCIE,5001,ST. LUCIE DETENTION CENTER,56,9,16.1%
56,ST. LUCIE,5003,DATA HOUSE,*,*,*
56,ST. LUCIE,5005,ST LUCIE COUNTY JAIL - ROCK ROAD ACADEMY,26,15,57.7%
56,ST. LUCIE,5031,"PACE CENTER FOR GIRLS, TREASURE COAST",46,36,78.3%
56,ST. LUCIE,7001,ST. LUCIE VIRTUAL INSTRUCTION PROGRAM,*,*,*
56,ST. LUCIE,7023,MOSAIC DIGITAL ACADEMY K-12,251,244,97.2%
57,SANTA ROSA,0021,CENTRAL SCHOOL,732,682,93.2%
57,SANTA ROSA,0041,BERRYHILL ELEMENTARY SCHOOL,802,778,97.0%
57,SANTA ROSA,0051,BAGDAD ELEMENTARY SCHOOL,501,468,93.4%
57,SANTA ROSA,0061,CHUMUCKLA ELEMENTARY SCHOOL,371,355,95.7%
57,SANTA ROSA,0071,EAST MILTON ELEMENTARY SCHOOL,771,732,94.9%
57,SANTA ROSA,0101,GULF BREEZE ELEMENTARY SCHOOL,865,850,98.3%
57,SANTA ROSA,0102,GULF BREEZE MIDDLE SCHOOL,916,897,97.9%
57,SANTA ROSA,0103,GULF BREEZE HIGH SCHOOL,"1,946","1,886",96.9%
57,SANTA ROSA,0131,T. R. JACKSON PREK CENTER,184,174,94.6%
57,SANTA ROSA,0141,JAY HIGH SCHOOL,498,476,95.6%
57,SANTA ROSA,0142,JAY ELEMENTARY SCHOOL,472,452,95.8%
57,SANTA ROSA,0151,MILTON HIGH SCHOOL,"1,985","1,890",95.2%
57,SANTA ROSA,0152,SANTA ROSA HIGH SCHOOL,151,100,66.2%
57,SANTA ROSA,0171,S. S. DIXON PRIMARY SCHOOL,611,583,95.4%
57,SANTA ROSA,0182,PACE HIGH SCHOOL,"2,316","2,232",96.4%
57,SANTA ROSA,0191,W. H. RHODES ELEMENTARY SCHOOL,789,713,90.4%
57,SANTA ROSA,0231,HOBBS MIDDLE SCHOOL,743,704,94.8%
57,SANTA ROSA,0261,MARTIN LUTHER KING MIDDLE SCHOOL,621,583,93.9%
57,SANTA ROSA,0271,HOLLEY-NAVARRE INTERMEDIATE,698,668,95.7%
57,SANTA ROSA,0272,HOLLEY-NAVARRE MIDDLE SCHOOL,823,784,95.3%
57,SANTA ROSA,0281,HOLLEY-NAVARRE PRIMARY,661,617,93.3%
57,SANTA ROSA,0301,PEA RIDGE ELEMENTARY SCHOOL,846,804,95.0%
57,SANTA ROSA,0302,AVALON MIDDLE SCHOOL,768,743,96.7%
57,SANTA ROSA,0311,ORIOLE BEACH ELEMENTARY SCHOOL,765,744,97.3%
57,SANTA ROSA,0312,BENNETT C RUSSELL ELEMENTARY SCHOOL,899,866,96.3%
57,SANTA ROSA,0331,S. S. DIXON INTERMEDIATE SCHOOL,676,657,97.2%
57,SANTA ROSA,0332,THOMAS L SIMS MIDDLE SCHOOL,823,805,97.8%
57,SANTA ROSA,0341,WEST NAVARRE PRIMARY SCHOOL,666,643,96.5%
57,SANTA ROSA,0342,WEST NAVARRE INTERMEDIATE SCHOOL,739,715,96.8%
57,SANTA ROSA,0351,NAVARRE HIGH SCHOOL,"2,410","2,341",97.1%
57,SANTA ROSA,0361,WOODLAWN BEACH MIDDLE SCHOOL,882,853,96.7%
57,SANTA ROSA,0371,WALLACE LAKE K-8,"1,061","1,044",98.4%
57,SANTA ROSA,1361,EAST BAY K-8 SCHOOL,"1,100","1,061",96.5%
57,SANTA ROSA,1421,HIGH ROAD,102,86,84.3%
57,SANTA ROSA,7004,SANTA ROSA VIRTUAL FRANCHISE,105,97,92.4%
57,SANTA ROSA,7006,SANTA ROSA VIRTUAL INSTRUCTION COURSE OFFERINGS,*,*,*
57,SANTA ROSA,8001,LEARNING ACADEMY OF SANTA ROSA,62,44,71.0%
57,SANTA ROSA,8004,COASTAL CONNECTIONS ACADEMY,261,207,79.3%
58,SARASOTA,0012,ALTA VISTA ELEMENTARY SCHOOL,453,431,95.1%
58,SARASOTA,0021,PINE VIEW SCHOOL,"1,752","1,735",99.0%
58,SARASOTA,0031,SARASOTA MIDDLE SCHOOL,"1,290","1,264",98.0%
58,SARASOTA,0051,SARASOTA HIGH SCHOOL,"2,359","2,250",95.4%
58,SARASOTA,0071,BAY HAVEN SCHOOL OF BASICS PLUS,547,533,97.4%
58,SARASOTA,0074,SARASOTA MILITARY ACADEMY,997,944,94.7%
58,SARASOTA,0081,SUNCOAST SCHOOL FOR INNOVATIVE STUDIES,96,85,88.5%
58,SARASOTA,0083,SARASOTA SCHOOL OF ARTS/SCIENCES,747,740,99.1%
58,SARASOTA,0084,BOOKER MIDDLE SCHOOL,811,766,94.5%
58,SARASOTA,0085,BOOKER HIGH SCHOOL,"1,479","1,396",94.4%
58,SARASOTA,0090,ISLAND VILLAGE MONTESSORI SCHOOL,527,514,97.5%
58,SARASOTA,0100,SARASOTA SUNCOAST ACADEMY,823,800,97.2%
58,SARASOTA,0101,BRENTWOOD ELEMENTARY SCHOOL,590,566,95.9%
58,SARASOTA,0102,STUDENT LEADERSHIP ACADEMY,328,325,99.1%
58,SARASOTA,0103,IMAGINE SCHOOL AT NORTH PORT,"1,228","1,189",96.8%
58,SARASOTA,0106,IMAGINE SCHOOL AT PALMER RANCH,433,408,94.2%
58,SARASOTA,0110,SKY ACADEMY VENICE,293,273,93.2%
58,SARASOTA,0111,BROOKSIDE MIDDLE SCHOOL,724,696,96.1%
58,SARASOTA,0113,SARASOTA ACADEMY OF THE ARTS,193,186,96.4%
58,SARASOTA,0117,SKY ACADEMY ENGLEWOOD,327,316,96.6%
58,SARASOTA,0119,SARASOTA COUNTY ACCELERATION ACADEMIES,106,83,78.3%
58,SARASOTA,0120,DREAMERS ACADEMY,519,502,96.7%
58,SARASOTA,0121,ENGLEWOOD ELEMENTARY SCHOOL,564,547,97.0%
58,SARASOTA,0122,STATE COLLEGE OF FLA COLLEGIATE SCHOOL-VENICE,290,272,93.8%
58,SARASOTA,0131,FRUITVILLE ELEMENTARY SCHOOL,704,685,97.3%
58,SARASOTA,0141,MCINTOSH MIDDLE SCHOOL,693,651,93.9%
58,SARASOTA,0171,PHILLIPPI SHORES ELEMENTARY SCHOOL,696,682,98.0%
58,SARASOTA,0181,RIVERVIEW HIGH SCHOOL,"2,637","2,538",96.2%
58,SARASOTA,0191,SOUTHSIDE ELEMENTARY SCHOOL,696,690,99.1%
58,SARASOTA,0201,TUTTLE ELEMENTARY SCHOOL,698,672,96.3%
58,SARASOTA,0211,VENICE ELEMENTARY SCHOOL,616,603,97.9%
58,SARASOTA,0221,VENICE SENIOR HIGH SCHOOL,"2,579","2,452",95.1%
58,SARASOTA,0261,GOCIO ELEMENTARY SCHOOL,654,623,95.3%
58,SARASOTA,0271,GULF GATE ELEMENTARY SCHOOL,596,580,97.3%
58,SARASOTA,0291,WILKINSON ELEMENTARY SCHOOL,422,401,95.0%
58,SARASOTA,0293,OAK PARK SCHOOL,211,202,95.7%
58,SARASOTA,0294,TRIAD,77,38,49.4%
58,SARASOTA,0301,ASHTON ELEMENTARY SCHOOL,964,950,98.5%
58,SARASOTA,0381,GARDEN ELEMENTARY SCHOOL,529,508,96.0%
58,SARASOTA,0451,VENICE MIDDLE SCHOOL,732,705,96.3%
58,SARASOTA,0461,GLENALLEN ELEMENTARY SCHOOL,749,712,95.1%
58,SARASOTA,0471,LAKEVIEW ELEMENTARY SCHOOL,741,720,97.2%
58,SARASOTA,0491,TAYLOR RANCH ELEMENTARY SCHOOL,844,829,98.2%
58,SARASOTA,0501,EMMA E. BOOKER ELEMENTARY SCHOOL,451,418,92.7%
58,SARASOTA,1211,LAUREL NOKOMIS SCHOOL,"1,384","1,339",96.7%
58,SARASOTA,1231,TOLEDO BLADE ELEMENTARY SCHOOL,841,806,95.8%
58,SARASOTA,1241,ATWATER ELEMENTARY,892,866,97.1%
58,SARASOTA,1251,NORTH PORT HIGH SCHOOL,"2,557","2,424",94.8%
58,SARASOTA,1261,HERON CREEK MIDDLE SCHOOL,945,897,94.9%
58,SARASOTA,1271,CRANBERRY ELEMENTARY SCHOOL,813,782,96.2%
58,SARASOTA,1282,TATUM RIDGE ELEMENTARY SCHOOL,864,838,97.0%
58,SARASOTA,1291,WOODLAND MIDDLE SCHOOL,"1,040","1,010",97.1%
58,SARASOTA,1321,CHILDREN FIRST,24,0,0.0%
58,SARASOTA,1324,THE FLORIDA CENTER FOR CHILD AND FAMILY DEVELOPMENT,15,14,93.3%
58,SARASOTA,1341,LAMARQUE ELEMENTARY SCHOOL,"1,025",991,96.7%
58,SARASOTA,1351,"COMMUNITY HAVEN FOR ADULTS AND CHILDREN WITH DISABILITIES, INC.",*,*,*
58,SARASOTA,1391,SUNCOAST POLYTECHNICAL HIGH SCHOOL,556,541,97.3%
58,SARASOTA,1501,COLLEGE PREPARATORY ACADEMY AT WELLEN PARK,409,389,95.1%
58,SARASOTA,7001,SARASOTA VIRTUAL INSTRUCTION PROGRAM,103,97,94.2%
58,SARASOTA,7004,SARASOTA VIRTUAL ACADEMY (VIRTUAL FRANCHISE),12,10,83.3%
59,SEMINOLE,0021,HAMILTON ELEMENTARY SCHOOL,671,638,95.1%
59,SEMINOLE,0031,BEAR LAKE ELEMENTARY SCHOOL,849,819,96.5%
59,SEMINOLE,0041,ENGLISH ESTATES ELEMENTARY SCHOOL,637,596,93.6%
59,SEMINOLE,0051,GENEVA ELEMENTARY SCHOOL,486,475,97.7%
59,SEMINOLE,0071,LAKE MARY HIGH SCHOOL,"2,714","2,667",98.3%
59,SEMINOLE,0081,LAKE MARY ELEMENTARY SCHOOL,881,852,96.7%
59,SEMINOLE,0091,LONGWOOD ELEMENTARY SCHOOL,573,553,96.5%
59,SEMINOLE,0101,MILWEE MIDDLE SCHOOL,"1,334","1,273",95.4%
59,SEMINOLE,0111,EVANS ELEMENTARY SCHOOL,788,760,96.4%
